연번,부 서 명,집행일자,집  행  내  역,집행장소,연번,"부 서 명   
 부 서 명","집행일자   
 집행일자"
,,,계,,,,
1,총무과,2020-10-03,대구경북상생 관련 간담회 경비 지출,집밥아미정,2,총무과,2020-10-04
2,총무과,2020-10-05,추석연휴 코로나19 현황 관련 홍보간담회 경비 지출,언양불고기,3,총무과,2020-10-06
3,총무과,2020-10-05,내방객 접대용 음료 등 구입,SSG.COM외 2,4,총무과,2020-10-06
4,총무과,2020-10-07,코로나19 재유행 방지관련 직원 격려 간담회 경비 지출,청담동,5,총무과,2020-10-08
5,총무과,2020-10-07,코로나19 및 주요시책 관련 홍보간담회 경비 지출,오히츠,6,총무과,2020-10-08
6,총무과,2020-10-08,코로나19 방역 관련 간담회 경비 지출,순남시래기,7,총무과,2020-10-09
7,총무과,2020-10-10,코로나19 관련 주요경제현안 간담회 경비 지출,주식회사 스파밸리,8,총무과,2020-10-11
8,총무과,2020-10-13,2021년도 국비확보 관련 직원 격려 간담회 경비 지출,한화호텔앤드리조트 (주),9,총무과,2020-10-14
9,총무과,"2020-10-16   
 2020-10-16",주요시책 관련 간담회 경비 지출,창미고깃집,10,총무과,2020-10-17
10,총무과,2020-10-19,코로나19 현황 관련 홍보간담회 경비 지출,호키츠네,11,총무과,2020-10-20
11,총무과,"2020-10-21   
 2020-10-21",교통정책 관련 직원 격려 간담회 경비 지출,순남시래기,12,총무과,2020-10-22
12,총무과,2020-10-27,코로나 19 대응관련 직원 격려 간담회 경비 지출,피에프창,13,총무과,2020-10-28
13,총무과,2020-10-28,코로나19 현황 관련 홍보간담회 경비 지출,삼수장어,14,총무과,2020-10-29
14,총무과,2020-10-30,코로나19 및 도시재생정책 관련 직원 격려 간담회 경비 지출,애기똥풀,15,총무과,2020-10-31
1,총무과,2020-09-01,태풍 마이삭 대비 직원 격려 간담회 경비 지출,피에프창,2,총무과,2020-09-02
2,총무과,2020-09-03,내방객 접대용 음료 등 구입,통통과일외 2,3,총무과,2020-09-04
3,총무과,2020-09-03,코로나19 재확산 방지관련 직원 격려 간담회 경비 지출,뜨돈,4,총무과,2020-09-04
4,총무과,"2020-09-04   
 2020-09-04",코로나19 재확산 방지관련 직원 격려 간담회 경비 지출,빕스,5,총무과,2020-09-05
5,총무과,2020-09-05,코로나19 대응 업무추진 격려 간식 구입,칠번가피자,6,총무과,2020-09-06
6,총무과,2020-09-06,태풍 하이선 대비 근무직원 격려 경비 지출,피자에땅,7,총무과,2020-09-07
7,총무과,2020-09-07,코로나19 관련 간담회 경비 지출,삼수장어,8,총무과,2020-09-08
8,총무과,2020-09-08,근조화세트 구입,가나아트,9,총무과,2020-09-09
9,총무과,2020-09-08,코로나19 재유행 방지 관련 간담회 경비 지출,순남시래기,10,총무과,2020-09-09
10,총무과,2020-09-09,코로나19 재유행 방지 관련 간담회 경비 지출,왕건이집,11,총무과,2020-09-10
