연번,사용일,적  요,금  액,"대상
(인)",사용처,"집행구분
(카드/현금)",
합계,,264건,"93,601,730",,,,
1,2020-06-29,시정시책 홍보방안 협의 간담,"147,000",5,상무바다,카드,
2,2020-07-01,코로나19 확산방지 대응을 위한 대시민 홍보추진방안 논의 간담회,"335,000",12,하남목장,카드,
3,2020-07-01,청년 정책 통합 홍보방안 논의 간담회,"271,600",12,돈돈상무점,카드,
7,2020-07-02,국무총리주재 중대본 현장회의 의전협의 간담,"144,000",5,원할머니보쌈,카드,
8,2020-07-03,국무총리주재 중대본 현장회의 지시사항 관련 오찬 간담,"82,000",5,상무생복집,카드,
13,2020-07-03,식중독 예방 등 학교급식 대비 논의 간담회,"66,000",3,오로라양식,카드,
5,2020-07-06,열감지카메라 군 인력지원 협의 오찬간담,"80,000",4,다부,카드,
9,2020-07-06,구내식당 거리두기 시범운영 협의 간담,"20,000",5,꼰날,카드,
14,2020-07-06,장마철 대비 시설물관리 방안 논의 간담회,"144,000",5,머시기쪽갈비생족발,카드,
4,2020-07-07,청사 출입차량 발열체크 운영 협의,"153,000",8,원할머니보쌈,카드,
10,2020-07-07,국 업무보고 대비 시책협의 간담,"153,000",7,상무참전복,카드,
6,2020-07-08,발열체크 근무장소 변경 논의 간담,"59,000",8,박정표밀알모밀,카드,
15,2020-07-08,코로나19 장기화에 따른 폭염피해 최소화 대책 방안 논의 간담회,"60,000",3,미작,카드,
16,2020-07-08,코로나19 재난문자 신속공개 등 대시민 홍보 논의 간담회,"239,000",9,마니아,카드,
44,2020-07-08,출입차량 발열체크 관련 언론기관 업무협력 간담회,"24,000",9,뽕짬뽕,카드,
11,2020-07-09,자치행정국장-시 노조 오찬 간담,"221,000",13,산일능이버섯,카드,
17,2020-07-10,코로나19 확산 방지를 위한 마스크 착용 일상화 범시민 캠페인 추진방안 간담회,"312,000",12,옥과한우촌,카드,
39,2020-07-10,시청사 전자출입명부 도입 관련 협의 간담,"135,000",8,다도해물나라,카드,
45,2020-07-10,출입차량 발열체크 운영에 따른 언론기관 오찬 간담회,"40,000",3,다부,카드,
46,2020-07-10,전자출입명부 실시에 따른 업무추진 협의 간담,"135,000",6,부자네가든,카드,
12,2020-07-14,코로나19 대응을 위한 학원 운영제한 등 방역 추진 방안 간담회,"135,000",7,진미청국장,카드,
37,2020-07-14,시 주요현안 협의 간부회의 추진,"136,000",40,이룸카페,카드,
42,2020-07-14,전자출입명부 시스템 관련 업무추진 간담회,"96,000",11,바다양푼이동태탕,카드,
48,2020-07-14,청사 출입차량 발열체크 현안업무 협의 간담,"106,000",6,이가옹구삼겹살,카드,
41,2020-07-15,균형발전박람회 홍보 관련 업무 간담회,"70,000",5,가화원,카드,
43,2020-07-17,청사 부설주차장 개선에 따른 업무협의 간담회,"120,000",9,옥과한우촌,카드,
38,2020-07-20,국 주요업무 언론기관 업무협력 간담회,"200,000",10,다부,카드,
36,2020-07-21,시 주요현안 협의 간부회의 추진,"67,000",,㈜디자인앤본두,카드,
40,2020-07-22,시민사회단체 조직강화 재건을 위한 업무 간담회,"42,000",4,상무생복집,카드,
18,2020-07-23,"마을활동(주민자치, 통장 단) 자체협조 업무추진 간담회","64,000",8,바다양푼이동태탕,카드,
32,2020-07-23,광주AI 등 시정 주요현안 관련 의견청취 및 논의,"116,000",4,나룻배상무점,카드,
47,2020-07-23,조직문화 개선 추진사항 협업 간담회,"120,000",6,다부,카드,
23,2020-07-24,공동혁신도시 용역추진업무 협의 등 간담회,"167,000",10,나주곰탕,카드,
24,2020-07-24,시 상징물심의 관련 업무협력 간담회,"275,000",10,신가네풍천장어,카드,
28,2020-07-24,주요현안 업무공유 등 언론사 간담,"24,000",2,나주곰탕황순옥며느리,카드,
34,2020-07-24,시 출입 언론관계자와 시정운영 등 소통 간담,"81,000",5,대원한우명가,카드,
25,2020-07-27,기록물관리 운영에 따른 업무협의 간담,"120,000",8,상무바다,카드,
52,2020-07-27,코로나19 업무관계자 등 노고격려 간식 구입,"472,000",75,광주통닭외1,카드,
19,2020-07-28,광복절 경축행사 업무추진 간담회,"68,000",8,바다양푼이동태탕,카드,
27,2020-07-28,현안업무추진 관련 업무협의 간담,"183,000",8,옥과한우촌,카드,
31,2020-07-28,현안업무 등 야간근무자 노고격려 및 간식 구입,"233,400",12,바다양푼이동태탕외1,카드,
33,2020-07-28,하반기 시정운영방향에 대한 의견청취 등 간담,"60,000",3,해동활어,카드,
78,2020-07-28,사회적 거리두기 2단계 연장 여부 시민단체 등 업무협력 간담회,"119,000",6,약초흑염소,카드,
20,2020-07-29,혁신도시 활성화 업무추진 간담회,"45,000",5,상무바다,카드,
26,2020-07-29,공무직 경력합산등에 관한 협의간담,"148,000",8,메기랑아구랑,카드,
73,2020-07-29,코로나19 대응 관련 경찰청 관계자 격려,"158,000",6,바른고기엘베요타,카드,
21,2020-07-30,시민사회단체 의견수렴 등 간담회,"164,000",8,영광횟집,카드,
22,2020-07-30,현안추진사항 등 인사업무 협력 간담회,"63,000",7,상무바다,카드,
30,2020-07-30,청사출입 발열체크 관계자 운영 논의 간담,"60,000",8,박정표밀알모밀,카드,
87,2020-07-30,제75주년 광복절 기념행사 협의간담,"90,000",4,상무바다,카드,
29,2020-07-31,새마을금고 운영 현안업무 간담회,"120,000",8,아리랑한정식,카드,
35,2020-07-31,시 주요현안 협의 간부회의 추진,"180,000",30,이룸카페,카드,
82,2020-07-31,사회적 거리두기 완화 관련 언론기관 업무협력 간담회,"154,000",7,한마음식당,카드,
85,2020-08-03,공무직 공정채용을 위한 인사부서 협의 간담,"79,000",9,상무바지락칼국수,카드,
77,2020-08-04,공무원 심리상담 등 운영추진 협의간담,"48,000",5,동해계절맛집,카드,
49,2020-08-05,하반기 중점사업 설명 등 시의회 관계자 간 업무 소통 간담,"372,000",10,땅끝마을,카드,
50,2020-08-05,시 주요정책 홍보 및 의견수렴 등 소통 간담,"64,400",3,피터테이블,카드,
67,2020-08-05,제75주년 광복절 경축식 관련 수화통역사 지원협조 및 협의 간담,"108,460",8,최주원육개장외1,카드,
83,2020-08-05,공무원 마음건강센터 운영 등 언론기관 업무협력 간담회,"82,000",4,상무바다,카드,
91,2020-08-05,주민자치 활성화 업무 추진 간담회,"178,000",10,광주옥1947,카드,
56,2020-08-06,사회적 거리두기 2단계 연장 여부 시민단체 등 업무협력 간담회,"304,000",12,신가네풍천장어,카드,
76,2020-08-06,청사 옥상 LED컨버터함 설치 자문 등 협의간담,"63,000",7,상무바다,카드,
