일자,시간,장소,대상,계,내역,집행방법,
2020. 9. 2.(수),18:43,코차인터내셔널(인천 남동구 소재),재난상황근무자 등 30명,357300,"태풍 ""마이삭""에 따른 재난상황근무자 격려를 위한 간식 구입",카드,
2020. 9. 2.(수),13:27,도미노피자(인천 남동구 소재),보건환경연구원장 등 40명,422400,코로나19 대응에 따른 검체검사 등으로 노고가 많은 관계직원 격려,카드,
2020. 9. 4.(금),17:03,그린위치(인천 남동구 소재),상황근무자 등 50명,360000,코로나19 대응에 따른 재난안전상황실 근무자 격려위한 간식 구입,카드,
2020. 9. 4.(금),11:20,도미노피자(인천 연수구 소재),연수구 보건소 관계직원 100명,708000,코로나19 대응에 따른 코로나 검사 및 역학조사 등으로 노고가 많은 관계기관 격려,카드,
2020. 9. 6.(일),12:35,정글애갑오징어 외 1(인천 남동구 소재),휴일 상황근무자 등 11명,118300,코로나19 및 태풍 하이선 대응에 따른 휴일 상황근무자 격려위한 오찬,카드,
2020. 9. 7.(월),15:51,피치버스(인천 연수구 소재),산업진흥과장 등 26명,175000,국가지식재산 최우수 기관 표창에 따른 관계부서 격려,카드,
2020. 9. 8.(화),,,0,50000,시 소속 상근직원에 대한 경조사 비용 지출,현금,
2020. 9. 8.(화),13:29,우성꽃농원(인천 계양구 소재),상근직원 등,500000,2020년 8월중 상근직원 등 조사 시 관내지역에 설치한 근조기 비용,카드,
2020. 9. 8.(화),,,경정훈련원 생활치료센터 직원,300000,인천 생활치료센터(경정훈련원) 개소 준비현황 점검 방문에 따른 격려금,현금,
2020. 9. 9.(수),11:17,도미노피자(인천 부평구 소재),부평구 보건소 관계직원 120명,701600,코로나19 대응에 따른 코로나 검사 및 역학조사 등으로 노고가 많은 관계기관 격려,카드,
2020. 9. 10.(목),,,가좌2동 행정복지센터 외 2개소,900000,「해경의 날」및 「자살예방의 날」맞이 주요 현장방문에 따른 격려금,현금,
2020. 9. 11.(금),17:37,홈플러스(인천 남동구 소재),상황근무자 등 50명,454580,코로나19 대응에 따른 재난안전상황실 근무자 격려위한 간식 구입,카드,
2020. 9. 13.(일),11:55,해장국설렁탕(인천 남동구 소재),상황근무자 등 11명,117000,코로나19 대응에 따른 상황 근무자 격려위한 오찬,카드,
2020. 9. 14.(월),,,000 외 1명,100000,시 소속 상근직원에 대한 경조사 비용 지출,현금,
2020. 9. 15.(화),14:01,도미노피자(인천 연수구 소재),재생콘텐츠과장 등 18명,171400,스마트관광도시 시범조성사업 최종 선정에 따른 업무추진 부서 격려위한 간식 구입,카드,
2020. 9. 16.(수),,,경정훈련원 생활치료센터 직원,300000,무의도 주민 정주여건 개선 관련 주요 현장방문에 따른 격려금,현금,
2020. 9. 22.(화),11:45,북경(인천 남동구 소재),그린뉴딜 담당 등 5명,55500,인천형 그린뉴딜 전문가 영상회의 관련 관계부서와 오찬 간담,카드,
2020. 9. 22.(화),15:52,이삭토스트(인천 남동구 소재),상황근무자 등 50명,348000,코로나19 대응에 따른 재난안전상황실 근무자 격려위한 간식 구입,카드,
2020. 9. 25.(금),10:28,프라임(인천 연수구 소재),현업근무자 등 171명,5985000,2020년 추석 맞이 현업근무자 및 코로나 대응 근무자 격려위한 물품 구입,카드,
2020. 9. 25.(금),9:41,코차인터내셔널(인천 미추홀구 소재),현업근무자 등 60명,2100000,2020년 추석 맞이 현업근무자 및 코로나 대응 근무자 격려위한 물품 구입,카드,
2020. 9. 25.(금),,,남촌농축산도매시장 외 5개소,2800000,2020 추석맞이 생활현장 방문에 따른 격려금,현금,
2020. 9. 27.(일),12:08,생선구이구이(인천 남동구 소재),상황근무자 등 8명,150000,코로나19 대응에 따른 주말 상황 근무자 격려,카드,
2020. 9. 28.(화),16:34,낙원떡방앗간(인천 남동구 소재) 외 1개소,상황근무자 등 50명,450000,추석 연휴기간 중 코로나19 대응을 위한 종합상황실 근무자 격려를 위한 물품 구입,카드,
2020. 9. 29.(화),12:06,수라(인천 남동구 소재),상황반 관계직원 등 16명,440000,추석연휴 기간중 분야별 상황반 운영에 따른 관계직원 격려,카드,
2020. 9. 29.(화),,,000 외 6명,350000,시 소속 상근직원에 대한 경조사 비용 지출,현금,
2020. 9. 29.(화),,,인천의료원 의료진 등,1000000,코로나19 대응에 따른 환자 치료 및 간호 등으로 노고가 많은 의료진 격려금 지급,현금,
2020. 9. 30.(수),12:25,백령도우성냉면(인천 남동구 소재),상황근무자 등 9명,101500,코로나19 대응에 따른 연휴기간 상황 근무자 격려,카드,
,,,,,,,
2020. 9. 3.(수),13:48,파니노키친(대전 서구 소재),중앙부처 관계자 등 90명,450000,2021년도 국비확보를 위한 중앙부처 관계자와 간담회를 위한 간식 구입,카드,
2020. 9. 4.(금),12:49,이태리소년(인천 남동구 소재),장사문화 관계자 등 4명,62200,추석명절 성묘대책 협의를 위한 관계자와 오찬 간담,카드,
2020. 9. 10.(목),12:30,바다양푼이동태탕(인천 남동구 소재),매립지조성 관계자 등 7명,56000,자체매립지 조성방안 협의를 위한 관계자와 오찬 간담,카드,
2020. 9. 10.(목),12:32,신선화로(인천 남동구 소재),국회의원 보좌진 등 4명,62500,공공의료원 등 지역현안사항 논의에 따른 국회의원 보좌진과 간담,카드,
2020. 9. 14.(월),12:17,사월애보리밥(인천 연수구),해양수산협력관 등 8명,116100,어촌뉴딜 300사업 군구 관계자와 간담,카드,
2020. 9. 15.(화),11:41,명동보리밥(인천 남동구 소재),시내버스 관계자 등 8명,125000,시내버스 노선 개편 용역 보고회와 관련 관계자와 간담,카드,
2020. 9. 17.(목),12:17,스시웨이(인천 연수구 소재),영종종합병원 건립 관계자 등 7명,86000,영종종합병원 건립 최적화 방안 마련을 위한 연구용역 추진 관계자와 간담,카드,
2020. 9. 17.(목),12:40,대도가(인천 남동구 소재),뉴딜 추진 관계자 등 8명,135000,인천형 디지털 뉴딜 추진계획 수립을 위한 관계자와 간담,카드,
2020. 9. 21.(월),12:00,인천광역시청 구내식당(인천 남동구 소재),시장 및 상임위원장 20명,300000,시의회 의장단과의 소통을 위한 간담,카드,
2020. 9. 28.(월),20:45,신촌우서서 갈비 (인천 남동구),지하도 상생협의회 8명,169500,지하도상가 상생방안 논의를 위한 관계자와 간담,카드,
,,,,,,,
2020. 8. 3.(월),12:33,경복궁(인천 남동구 소재),정책기획관 등 6명,126000,한국판 뉴딜 대응 및 인천형 뉴딜 종합계획 마련을 위한 간담,카드,
2020. 8. 3.(월),,,000 외 3명,200000,시 소속 상근직원에 대한 경조사 비용 지출,현금,
2020. 8. 4.(화),17:12,뚜레쥬르(인천 남동구 소재),상황근무자 등 50명,264000,코로나19 대응에 따른 재난안전상황실 근무자 격려위한 간식 구입,카드,
2020. 8. 5.(수),12:35,전라도밥상(인천 남동구 소재),데이터혁신담당관 8명,130000,온라인 시민시장실 구축사업 관련 현안사항 협의를 위한 관계자와 오찬 간담,카드,
2020. 8. 6.(목),14:24,홈마트시청점(인천 남동구),재난안전대책본부 응소자 27명 등,251550,풍수해 관련 재난안전대책본부 응소자 격려,카드,
2020. 8. 6.(목),11:36,북경(인천 남동구 소재),조직관리 담당 등 7명,87000,시도지사협의회 총회 관련 인천시 현안사항 보고 준비 등에 따른 관계부서와 간담,카드,
2020. 8. 7.(금),12:33,대도가(인천 남동구 소재),재정지원담당 등 8명,132000,2021년 국비 확보를 위한 중앙부처 방문에 따른 관계자와 오찬 간담,카드,
2020. 8. 8.(토),22:51,피자민(인천 남동구 소재),재난안전대책본부 응소자 27명 등,147300,풍수해 관련 재난안전대책본부 응소자 격려,카드,
2020. 8. 10.(월),,,000 외 2명,150000,시 소속 상근직원에 대한 경조사 비용 지출,현금,
2020. 8. 10.(월),21:28,수라(인천 남동구 소재),시민소통담당 등 8명,224000,직소민원 현황파악 및 해소방안 마련을 위한 관계 직원과 간담,카드,
2020. 8. 10.(월),21:20,고깃나루(인천 남동구 소재),육아지원담당 등 10명,291000,저출산 대응 관련 우수사례 경진대회 우수부서 격려,카드,
2020. 8. 11.(화),9:11,세계종합유통(인천 연수구 소재),국립인천검역소 검역팀장 등 30명,230000,코로나19 대응에 따른 검역기관 격려,카드,
2020. 8. 11.(화),12:15,해장국설렁탕(인천 남동구 소재),공직감찰담당 등 10명,90000,집중호우에 따른 비상 대응체계 구축 등 공직기강 확립방안 협의,카드,
2020. 8. 11.(화),13:34,우성꽃농원(인천 계양구 소재),상근직원 등,540000,2020년 7월중 상근직원 등 조사 시 관내지역에 설치한 근조기 비용 지출,카드,
2020. 8. 13.(목),20:36,춘천중앙로닭갈비(인천 남동구 소재,기획담당 등 8명,142000,주요 회의체계 운영방식 개선 및 부서 협업 활성화를 위한 관계자와 간담,카드,
2020. 8. 13.(목),20:09,수라(인천 남동구 소재),택시화물과장 등 9명,260000,교통분야 주요현안 해소방안 협의 및 노고 격려를 위한 관계부서 직원과 간담,카드,
2020. 8. 13.(목),12:06,명인콩국수(인천 남동구 소재),자치행정담당 등 7명,65000,3대 민생분야별 주요현장 방문 추진에 따른 현안사항 협의를 위한 관계자와 간담,카드,
2020. 8. 13.(목),,,상수도사업본부 외  4개소,1400000,미추홀구 민생현장 방문에 따른 격려금 지출,현금,
2020. 8. 14.(금),10:14,그린위치(인천 남동구 소재),열화상카메라 확인 근무자 등 30명,150000,코로나19 대응 열화상카메라 확인 근무자 격려위한 간식 구입,카드,
2020. 8. 14.(금),20:04,시옌(인천 남동구 소재),환경국 부서장 등 14명,490000,환경국 부서장과의 소통 간담,카드,
2020. 8. 18.(화),16:47,그린위치(인천 남동구 소재),상황실 근무자 등 50명,455000,코로나19 대응에 따른 재난안전상황실 근무자 격려위한 간식 구입,카드,
2020. 8. 19.(수),10:33,홈플러스(인천 남동구 소재),상황근무자 등 50명,421740,코로나19 대응에 따른 재난안전상황실 근무자 격려위한 간식 구입,카드,
2020. 8. 23.(일),12:32,해장국설렁탕(인천 남동구 소재),비서실장 등 6명,54000,코로나19  지역내 집단감염 확산에 따른 긴급회의 참석자와 오찬 간담,카드,
2020. 8. 24.(월),7:07,본도시락(인천 남동구 소재),평가담당관 등 10명.,208000,서구 직원 코로나19 확진자 발생 및 서구청 폐쇄 조치에 따른 긴급회의,카드,
2020. 8. 24.(월),,,000 외 3명,200000,시 소속 상근직원에 대한 경조사 비용 지출,현금,
2020. 8. 25.(화),12:04,북경(인천 남동구 소재),자치행정담당 등 8명,75000,"제8호 태풍 ""바비"" 대비 주요시설물 현장점검 실시에 따른 관계자와 오찬 간담",카드,
2020. 8. 26.(수),12:29,옥돌정(인천 남동구 소재),자연재난담당 5명,64500,"제8호 태풍 ""바비"" 북상에 따른 대처상황 점검을 위한 관계자와 오찬 간담",카드,
2020. 8. 27.(금),10:42,홈플러스(인천 남동구 소재),상황근무자 등 50명,467010,코로나19 대응에 따른 재난안전상황실 근무자 격려위한 간식 구입,카드,
2020. 8. 31.(월),,,0,50000,시 소속 상근직원에 대한 경조사 비용 지출,현금,
2020. 8. 31.(월),,,000 외 5명,300000,시 소속 상근직원에 대한 경조사 비용 지출,현금,
,,,,,,,
2020. 8. 3.(월),20:24,식구(인천 남동구 소재),지역국회의원 보좌관 등 3명,60000,2021년 국비확보 협조를 위한 지역 국회의원 보좌진과 간담,카드,
2020. 8. 4.(화),20:12,명태어장(인천 남동구 소재),상수도 관계자 등 5명,132000,상수도 유충 발생에 따른 해결방안 모색을 위한 관계자와 간담,카드,
2020. 8. 6.(목),12:18,경복궁(인천 남동구 소재),해군본부 등 13명,363000,인천상륙작전 전승행사 관련 현장확인 및 실무회의에 따른 관계자와 간담,카드,
2020. 8. 7.(금),12:36,한나루(인천 연수구 소재),한강유역환경청장 등 13명,374000,상수도 유충 민원 해소를 위한 현장수습지원반 근무자와 간담,카드,
2020. 8. 10.(월),12:54,장금수부대찌개(인천 남동구 소재),수산직판장 관계자 등 8명,76000,강화 외포항 수산물직판장 재건축 관련 현안협의를 위한 관계자와 오찬 간담,카드,
2020. 8. 11.(화),12:22,목포횟집(세종시 소재),중앙부처 파견 직원 등 25명,480000,원격지 근무직원 노고 격려 및 근무 부처별 시정협력 당부를 위한 중앙부처 파견 공무원 등과 간담,카드,
2020. 8. 13.(목),13:34,대오 외 3개소(인천 미추홀구 소재),기자 등 40명,498900,시정 주요시책사업에 대한 업무협조 및 홍보 강화 등을 위한 기자실 방문에 따른 간식 구입,카드,
2020. 8. 14.(금),21:52,수라(인천 남동구 소재),기획행정위원회 위원 등 8명,220000,인천애뜰 확대 조성 방안에 대한 논의 등을 위한 관계자와 간담,카드,
2020. 8. 14.(금),12:31,전라도밥상어촌(인천 남동구 소재),노동행정 관계자 등 5명,96000,2021년도 적용 생활임금 결정사항 협의를 위한 관계기관과 간담,카드,
2020. 8. 14.(금),8:42,세계종합유통(인천 연수구 소재),남동구 방호 관계자 등 30명,300000,지하도상가 집회에 따른 청사 방호 및 시위 대처에 노고가 많은 관계기관 격려,카드,
2020. 8. 15.(월),11:37,제주은희네해장국(인천 남동구 소재),코로나19  대응 추진단 등 9명,99000,코로나19 확진자 급등으로 인한 거리두기 범위 조정 등에 대한 관계자와 간담,카드,
2020. 8. 18.(화),11:58,본도시락(인천 남동구 소재),종교시설 관계자 등 7명,80000,코로나19 관련 집단감염 예방을 위한 종교시설 집합제한명령 조치에 따른 대응상황 논의,카드,
2020. 8. 19.(수),21:01,옥돌정(인천 남동구 소재),단체지원 관계자 등 7명,196000,공무원이 아닌 근로자 대상 산업안전보건법 준수에 따른 관계자와 간담,카드,
2020. 8. 19.(수),12:35,수누리감자탕(인천 남동구 소재),노조 관계자 등 5명,40000,공무원 노조 단체협약 관련 노조 관계자와 간담,카드,
2020. 8. 20.(목),11:58,북경(인천 남동구 소재),보건의료 관계자 등 8명,78500,코로나19 관련 마스크 착용 의무화 행정명령 발령에 따른 관계자와 간담,카드,
2020. 8. 25.(화),11:56,황우제매운탕(세종시 소재),행안부 중앙투자심사 관계자 등 4명,44000,인천애뜰 주차장 공사에 따른 중앙 관계기관과 업무 협의,카드,
2020. 8. 26.(수),11:58,정가네손두부집(인천 남동구 소재),청사관리 관계자 등 6명,130000,"태풍 ""바비"" 북상에 따른 청사시설물 관리 관계자와 대책 회의",카드,
2020. 8. 26.(수),12:21,정글애갑오징어(인천 남동구 소재),의약관리담당 등 5명,44700,의료계 집단휴진 관련 비상대책 진료상황실 운영 등 대처방안 협의를 위한 관계자와 오찬 간담,카드,
,,,,,,,
2020. 7. 2.(목),16:39,교보문고(인천 남동구),상반기 퇴직공무원 97명,1178550,2020년 상반기 퇴직자 격려위한 도서구입,카드,
2020. 7. 3.(금),12:19,주원일식(인천 남동구),교통정책담당 등 5명,42000,남동권역 종합교통대책 수립 관련 업무 협의를 위한 관계부서와 간담,카드,
2020. 7. 3.(금),14:36,우성꽃농원(인천 계양구),후반기 의회 의장,100000,제8대 의회 후반기 의장 취임에 따른 축하 난 구입,카드,
2020. 7. 5.(일),12:00,정글애갑오징어(인천 남동구),상황근무자 등 6명,62400,코로나19 대응에 따른 휴일 상황근무자 격려위한 오찬 간담,카드,
2020. 7. 6.(월),,,경조사(000),50000,시 소속 상근직원에 대한 경조사 비용 지출,현금,
2020. 7. 7.(화),12:23,옹진냉면(인천 남구),종합건설본부 시설물관리 담당 등 18명,256500,폭염대비 시설물 안전관리 점검을 위한 관계자와 간담,카드,
2020. 7. 7.(화),,,종합건설본부 등 4개기관,1300000,폭염 우기대비 주요 현장방문에 따른 격려금 지출,현금,
2020. 7. 10.(금),12:30,경복궁(인천 남동구),혁신담당관 등 6명,162000,혁신주간행사 추진 관계공무원 격려를 위한 오찬 간담,카드,
2020. 7. 10.(금),15:45,우성꽃농원(인천 남동구),상근직원 등,420000,2020년 6월중 상근직원 등 조사 시 관내지역에 설치한 근조기 비용 지출,카드,
2020. 7. 10.(금),10:20,영인팜(인천 강화군,길상면사무소 외 1개기관,299000,여름철 폭염 대비 취약계층 안전망 점검 등을 위한 방문기관 격려물품 구입,카드,
2020. 7. 10.(금),,,길상면사무소,300000,여름철 폭염대비 주요 현업부서 방문에 따른 격려금 지출,현금,
2020. 7. 12.(일),12:15,육개장인(인천 남동구),상황근무자 등 5명,50000,코로나19 대응에 따른 주말 상황 근무자 격려위한 오찬 간담,카드,
2020. 7. 14.(화),16:51,구내식당(인천광역시청),공로연수자 등 9명,225000,공로연수자와의 간담,카드,
2020. 7. 16.(목),13:30,스마일마트(인천 동구),상황실근무자 등 50명,489500,코로나19 대응에 따른 상황실 근무자 격려를 위한 간식 구입,카드,
